Parsha Name,Words,Letters
Bereshit,1931,7234
Noach,1859,6901
Lech-Lecha,1686,6336
Vayeira,2085,7862
Chayei,1402,5314
Toledot,1432,5426
Vayetze,2022,7513
Vayishlach,1974,7454
Vayeshev,1557,5969
Miketz,2022,7915
Vayigash,1480,5680
Vaychi,1158,4448
Shemot,1764,6763
Vaeira,1748,6701
Bo,1655,6149
Beshalach,1681,6423
Yitro,1105,4022
Mishpatim,1461,5310
Terumah,1145,4691
Tetzaveh,1412,5429
Ki-Tissa,2002,7424
Vayakhel,1558,6181
Pekudei,1182,4432
Vayikra,1673,6222
Tzav,1353,5096
Shemini,1237,4667
Tazria,1010,3667
Metzora,1274,4697
Acharei_Mot,1170,4294
Kedoshim,868,3229
Emor,1613,6104
Behar,736,2814
Bechukotai,1013,3992
Bemidbar,1823,7392
Naso,2264,8632
Behaalotecha,1840,7056
Shelach,1540,5820
Korach,1409,5325
Chukat,1245,4670
Balak,1455,5356
Pinchas,1887,7853
Matot,1484,5652
Masei,1461,5773
Devarim,1548,5972
Vaetchanan,1878,7343
Ekev,1747,6865
Reeh,1932,7442
Shfetim,1523,5590
Ki_Tetze,1582,5856
Ki_Tavo,1747,6811
Nitzavim,657,2575
Vayelech,553,2123
Haazinu,614,2323
Vezot_Haberacha,513,1989
